SURVEY_OPS,FRACTION_SUBSAMPLED,TOT_wgt_G_upscaled,TOT_No_upscaled,SPCODE,FAMILY,SCIENTIFIC_NAME,COMMON_NAME,OTU_NAME,T_FIELD,COUNT,AM_SPECIMEN,ANFC_SPECIMEN,WT_G,LENGTH_CODE,MAX_LENGTH_MM,MEASURED_COUNT,WEIGHT_MEASURED,RESTSAM_WT_G,CALCULATED_WT_G,CALCULATED_COUNTS,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_LATITUDE,ON_BOTTOM_LONGITUDE,ON_BOTTOM_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_LATITUDE,OFF_BOTTOM_LONGITUDE,OFF_BOTTOM_DEPTH_M,BOTTOM_DURATION_MINS,AFMA_UnitCode,AFMA_UnitCodeName,AFMA_CodeNote
IN2023_V05_010,1,702,2,37038004,Urolophidae,Urolophus paucimaculatus,Sparsely-spotted Stingaree,,T,2,,,702,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,3519,4,37031005,Rajidae,Dentiraja confusa,Longnose Skate,,T,4,,,3519,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,96,2,37287001,Sebastidae,Helicolenus percoides,Reef Ocean Perch,,T,2,,,96,FL,138,2,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,REG,Ocean Perch,
IN2023_V05_010,1,140,2,37120001,Paraulopidae,Paraulopus nigripinnis,Blacktip Cucumberfish,,T,2,,,140,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,1294,7,37288003,Triglidae,Lepidotrigla vanessa,Butterfly Gurnard,,T,7,,,1294,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,590,12,37288008,Triglidae,Lepidotrigla mulhalli,Roundsnout Gurnard,,T,12,,,590,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,578,1,37039001,Myliobatidae,Myliobatis tenuicaudatus,Southern Eagle Ray,,T,1,,1,578,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,6120,6,37038001,Urolophidae,Urolophus bucculentus,Sandyback Stingaree,,T,6,,,6120,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,1302,1,37031003,Rajidae,Dentiraja cerva,Whitespotted Skate,,T,1,,1,1302,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,79,1,37337003,Carangidae,Trachurus novaezelandiae,Yellowtail Scad,,T,1,,,79,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,,,
IN2023_V05_010,1,252,7,37337002,Carangidae,Trachurus declivis,Common Jack Mackerel,,T,7,,,252,,,0,,,,,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.353371,148.776441,93,30/06/2023 22:30,-40.363424,148.768743,86,14,HMG,Jack Mackerel,
IN2023_V05_064,1,5853,129,37337002,Carangidae,Trachurus declivis,Common Jack Mackerel,,T,129,0,0,5853,FL,193,100,4538,1314.94,5852.94,129,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,HMG,Jack Mackerel,
IN2023_V05_064,1,2534,9,37296001,Platycephalidae,Platycephalus richardsoni,Tiger Flathead,,T,9,,2,2534,FL,452,9,2534,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,FLT,Flathead,
IN2023_V05_064,1,1227,3,37469002,Diodontidae,Allomycterus pilatus,Australian Burrfish,,T,3,,1,1227,FL,233,3,1227,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,2616,8,37400001,Uranoscopidae,Xenocephalus armatus,Bulldog Stargazer,,T,8,2,2,2616,FL,364,8,2616,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,1962,58,37345001,Emmelichthyidae,Emmelichthys nitidus,Redbait,,T,58,5,2,1962,FL,188,58,1962,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,117,2,37288007,Triglidae,Lepidotrigla modesta,Cocky Gurnard,,T,2,,,117,FL,172,2,117,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,2220,11,37038004,Urolophidae,Urolophus paucimaculatus,Sparsely-spotted Stingaree,,T,11,2,2,2220,TL,318,11,2220,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,3224,2,37038001,Urolophidae,Urolophus bucculentus,Sandyback Stingaree,,T,2,,,3224,TL,590,2,3224,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,444,4,37445006,Centrolophidae,Seriolella punctata,Silver Warehou,,T,4,,,444,FL,223,4,444,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,TRS,Silver Warehou,
IN2023_V05_064,1,623,11,37337003,Carangidae,Trachurus novaezelandiae,Yellowtail Scad,,T,11,5,6,623,FL,204,11,623,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,4792,100,37288008,Triglidae,Lepidotrigla mulhalli,Roundsnout Gurnard,,T,100,0,109,4792,FL,185,100,4338,454,4792,110,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,4097,4,37031005,Rajidae,Dentiraja confusa,Longnose Skate,,T,4,4,,4097,TL,578,4,4097,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,5966,108,37441001,Scombridae,Scomber australasicus,Blue Mackerel,,T,108,3,3,5966,FL,235,100,5343,623,5966,112,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,916,2,37296003,Platycephalidae,Platycephalus bassensis,Southern Sand Flathead,,T,2,,,916,FL,419,2,916,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,FLT,Flathead,
IN2023_V05_064,1,2318,2,37039001,Myliobatidae,Myliobatis tenuicaudatus,Southern Eagle Ray,,T,2,1,1,2318,DW,696,2,2318,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,2090,8,37028002,Narcinidae,Narcinops tasmaniensis,Tasmanian Numbfish,,T,8,2,2,2090,TL,347,8,2090,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,416,3,37038903,Urolophidae,Urolophus spp.,,,T,3,,3,416,TL,262,3,416,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,140,3,37120001,Paraulopidae,Paraulopus nigripinnis,Blacktip Cucumberfish,,T,3,,,140,SL,174,3,140,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,82,1,37390001,Pinguipedidae,Parapercis allporti,Barred Grubfish,,T,1,,,82,FL,188,1,82,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,9650,4,37038014,Urolophidae,Trygonoptera imitata,Eastern Shovelnose Stingaree,,T,4,1,2,9650,TL,678,4,9650,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
