SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37439002,N39.2,249,10082386,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,264,10082416,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,254,10081491,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,253,10082467,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,250,10081492,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,263,10082209,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37465006,N39.2,199,10083352,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.2,246,10082173,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.2,199,10082169,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.2,313,10082201,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37445006,N39.2,212,10083319,tissue and gonads in same bag,Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.2,198,10083351,tissue and gonads in same bag,Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.2,195,10082097,tissue and gonads in same bag,Seriolella punctata,Silver Warehou,y,Seriolella punctata
37330014,N39.2,208,10083281,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,133,10083348,gonad lost,Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,142,10083288,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,222,10083279,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,167,10082551,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,217,10083317,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,173,10083278,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,166,10083314,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,162,10083316,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.2,224,10083277,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37296001,N39.3,449,10083152,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N39.3,353,10083096,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N39.3,309,10083155,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N39.3,241,10083092,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.3,205,10083094,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.3,258,10083095,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.3,339,10083079,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N39.3,290,10083019,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.3,278,10083231,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.3,219,10083122,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37445006,N39.3,202,10083209,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,191,10083230,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,208,10083259,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,194,10083267,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,195,10083265,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,187,10083200,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N39.3,190,10083266,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37439002,N39.3,254,10083206,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,251,10083257,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,254,10083205,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,244,10083220,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,262,10083139,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,267,10083145,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,264,10083188,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,248,10083253,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,239,10083224,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.3,244,10083233,(null),Rexea solandri,Gemfish,y,Rexea solandri
37465006,N39.3,146,10083114,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.3,188,10083168,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.3,188,10083161,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.3,200,10083158,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.3,195,10083128,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N39.3,189,10083130,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37287001,N39.3,148,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,130,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,107,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,216,10083241,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,145,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,135,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,120,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,150,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,141,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.3,146,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37330014,N39.3,160,10083329,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,205,10083196,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,170,10083250,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,196,10083201,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,173,10083192,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,207,10083255,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,152,10083234,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,173,10083299,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,158,10083212,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.3,167,10083186,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,168,10083011,shot2,Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,158,10083065,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,164,10083005,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,171,10082978,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,159,10082917,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,171,10082926,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,188,10082986,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,189,10082914,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,212,10082951,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N41.1,212,10080757,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37038004,N41.1,355,10082941,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N41.1,386,10083058,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37445006,N41.1,235,10083088,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.1,228,10083057,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37296001,N41.3,384,10082953,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37445006,N41.3,198,10082965,shot1,Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.3,201,10082968,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.3,210,10082992,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.3,200,10082933,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.3,214,10082960,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N41.3,203,10082863,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37439002,N41.3,272,10082923,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,262,10082931,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,268,10082928,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,257,10082956,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,256,10083119,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,250,10082929,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,275,10082952,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,273,10083034,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N41.3,235,10083061,(null),Rexea solandri,Gemfish,y,Rexea solandri
37465006,N43.1,216,10082908,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.1,199,10081171,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.1,223,10082842,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37330014,N43.1,195,10082402,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,197,10081932,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,169,10082693,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,153,10081919,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,163,10082341,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,177,10081960,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,176,10081994,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,171,10082392,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,169,10082738,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.1,173,10082775,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37296001,N43.1,347,10082805,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.1,337,10082737,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.1,262,10082764,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.1,337,10082766,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
