SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37465006,N43.3,301,10081977,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,306,10082311,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,301,10081953,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,297,10081963,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,402,10082361,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,196,10081962,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37038004,N43.3,360,10082353,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.3,255,10082396,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.3,294,10082424,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.3,354,10082281,recently pupped,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.3,329,10082363,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.3,276,10081954,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37296001,N45.1,473,10082919,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N45.1,471,10082957,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N45.1,272,10083059,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37287001,N45.1,256,10082698,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N45.1,225,10082617,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N45.1,199,10083013,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N45.1,216,10082667,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N45.1,223,10082728,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N45.1,200,10082697,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37439002,N45.1,232,10083027,gonad too small to sample,Rexea solandri,Gemfish,y,Rexea solandri
37228002,N45.2,723,10082621,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,629,10083146,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,538,10083175,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,483,10082647,gonad too small,Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,888,10082677,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,581,10082817,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,623,10082679,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.2,547,10082788,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37227001,N45.2,411,10082682,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,438,10082932,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,429,10082652,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,412,10082712,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,423,10082680,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,439,10082648,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,395,10082708,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,421,10082681,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,434,10082711,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.2,417,10082651,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37439002,N45.2,253,10082685,(null),Rexea solandri,Gemfish,y,Rexea solandri
37445006,N45.3,270,10083075,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,279,10083078,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,304,10083042,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,256,10083012,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,277,10083073,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,265,10083016,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37445006,N45.3,276,10082616,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37439002,N45.3,289,10083178,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,294,10083172,gonad LOST,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,278,10083171,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,267,10083133,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,250,10083102,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,278,10083141,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,257,10083112,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,273,10083164,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,251,10083166,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N45.3,237,10083136,(null),Rexea solandri,Gemfish,y,Rexea solandri
37228002,N45.3,486,10083043,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.3,588,10082628,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37228002,N45.3,706,10082625,(null),Genypterus blacodes,Pink Ling,y,Genypterus blacodes
37227001,N45.3,303,10082618,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,319,10082626,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,323,10082636,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,332,10082630,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,315,10082635,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,92,10082638,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,283,10082629,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,286,10082627,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,336,10082624,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
37227001,N45.3,335,10082639,(null),Macruronus novaezelandiae,Blue Grenadier,y,Macruronus novaezelandiae
