SPCODE,SCIENTIFIC_NAME,COMMON_NAME,OPER_ID,VOYAGE_ID,SITE_ID,SPECIES_BARCODE,WEIGHT_G,LENGTH_MM,SEX,SEX_CODE,OTOLITH,OTOLITH_COMMENT,GONAD,TISSUE,STOMACH,HINDGUT,BIOLOGICALS_COMMENTS,FISH_COMMENTS,Species_size
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,310,347,m,M,10080933,(null),10080857,10080887,10080874,10080903,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,434,391,m,M,10080873,(null),10080844,10080917,10080904,10080934,(null),(null),Platycephalus richardsoni_lg
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,127,196,m,M,(null),(null),(null),10081007,10081067,10081037,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,161,202,f,F,(null),(null),(null),10081022,10080977,10080992,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,144,192,f,F,(null),(null),(null),10080991,10081051,10081021,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,191,220,m,M,(null),(null),(null),10080983,10080967,10081013,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,162,208,u,U,(null),(null),(null),10081025,10081043,10081073,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,133,200,u,U,(null),(null),(null),10080971,10081064,10080968,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,175,220,m,M,(null),(null),(null),10080998,10081034,10080974,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,167,208,m,M,(null),(null),(null),10080965,10081058,10081028,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,179,216,f,F,(null),(null),(null),10080995,10081055,10080961,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,31,IN2023_V05,N5.2,10070200,215,227,f,F,(null),(null),(null),10080980,10081040,10081010,(null),(null),Helicolenus percoides
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,138,220,(null),(null),10080892,(null),(null),10080937,10080907,10080834,no gonad,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,122,209,u,U,10080864,(null),10080922,10080832,10080959,10080929,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,100,200,f,F,10080952,(null),10080893,10080960,10080863,10080833,(null),(null),Seriolella punctata
