"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"256",10083586,256,NA,NA,NA,NA,NA,NA
"257",10083658,257,37038004,"N35.2",321,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"258",10083438,258,37287001,"N35.1",158,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"259",10083363,259,37287001,"N35.1",161,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"260",10083410,260,37287001,"N35.1",210,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"261",10083402,261,37287001,"N35.1",191,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"262",10083598,262,37228002,"N35.2",437,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"263",10083552,263,37228002,"N35.1",423,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"264",10083574,264,37445006,"N35.3",209,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"265",10083665,265,37445006,"N35.3",206,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"266",10083676,266,37439002,"N35.2",273,"Rexea solandri","Gemfish","Rexea solandri"
"267",10083692,267,37439002,"N35.2",262,"Rexea solandri","Gemfish","Rexea solandri"
"268",10083624,268,37439002,"N35.2",274,"Rexea solandri","Gemfish","Rexea solandri"
"269",10083516,269,37439002,"N35.1",248,"Rexea solandri","Gemfish","Rexea solandri"
"270",10083549,270,37439002,"N35.1",274,"Rexea solandri","Gemfish","Rexea solandri"
"271",10083491,271,37439002,"N35.1",255,"Rexea solandri","Gemfish","Rexea solandri"
"272",10083601,272,37445006,"N35.3",207,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"273",10084147,273,37227001,"N31.1",418,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"274",10084143,274,37227001,"N31.2",475,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"275",10084057,275,37227001,"N31.1",285,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"276",10084032,276,37227001,"N31.2",596,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"277",10083837,277,37227001,"N31.1",327,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"278",10083894,278,37227001,"N31.1",416,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"279",10083667,279,37227001,"N31.1",412,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"280",10083949,280,37227001,"N31.2",436,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"281",10084347,281,37227001,"N31.2",329,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"282",10083977,282,37227001,"N31.2",420,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"283",10084270,283,37227001,"N31.1",340,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"284",10083610,284,37227001,"N31.2",420,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"285",10084348,285,37227001,"N31.2",410,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"286",10084376,286,37445006,"N31.3",264,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"287",10084006,287,37227001,"N31.1",435,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"288",10084231,288,37296001,"N27.2",337,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
