SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME
37440002,N9.3,1245,10081961,(null),Lepidopus caudatus,Frostfish
37228002,N9.2,1175,10082030,shot 3,Genypterus blacodes,Pink Ling
37228002,N9.2,1080,10082084,(null),Genypterus blacodes,Pink Ling
37228002,N9.2,850,10082068,(null),Genypterus blacodes,Pink Ling
37228002,N9.2,610,10082124,(null),Genypterus blacodes,Pink Ling
37228002,N9.2,683,10082093,(null),Genypterus blacodes,Pink Ling
37228002,N9.2,666,10082090,(null),Genypterus blacodes,Pink Ling
37287093,N9.2,323,NA,samples mixed up,Helicolenus barathri,Bigeye Ocean Perch
37287093,N9.2,155,NA,samples mixed up,Helicolenus barathri,Bigeye Ocean Perch
37287093,N9.2,198,NA,samples mixed up,Helicolenus barathri,Bigeye Ocean Perch
37287093,N9.2,212,NA,samples mixed up,Helicolenus barathri,Bigeye Ocean Perch
37287093,N9.2,110,NA,samples mixed up,Helicolenus barathri,Bigeye Ocean Perch
37227001,N9.2,304,10082139,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,660,10082190,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,436,10082130,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,858,10082171,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,333,10082053,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,546,10082114,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,336,10082258,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,359,10082117,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,308,10082228,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N9.2,670,10082200,(null),Macruronus novaezelandiae,Blue Grenadier
37296001,N11.1,348,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,287,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,452,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,432,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,282,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,293,NA,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N11.1,350,NA,(null),Platycephalus richardsoni,Tiger Flathead
37038004,N11.1,298,10082257,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,249,10081730,immature,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,255,10082195,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,318,10082238,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,309,10082082,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,264,10082202,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.1,311,10082170,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038001,N11.1,590,10081725,(null),Urolophus bucculentus,Sandyback Stingaree
37038001,N11.1,339,10082143,immature,Urolophus bucculentus,Sandyback Stingaree
37445006,N11.1,199,10081726,otolith with tissue,Seriolella punctata,Silver Warehou
37445006,N11.1,223,10081695,otolith with tissue,Seriolella punctata,Silver Warehou
37445006,N11.1,204,10082144,(null),Seriolella punctata,Silver Warehou
37445006,N11.1,207,10082174,otolith with tissue,Seriolella punctata,Silver Warehou
37038014,N11.1,678,10082001,(null),Trygonoptera imitata,Eastern Shovelnose Stingaree
37038007,N11.3,372,10081975,pupping,Urolophus viridis,Greenback Stingaree
37038007,N11.3,233,10082245,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,321,10082244,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,309,10082275,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,239,10082269,immature,Urolophus viridis,Greenback Stingaree
37038007,N11.3,306,10082249,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,311,10082135,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,267,10082175,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,277,10082164,(null),Urolophus viridis,Greenback Stingaree
37038007,N11.3,241,10082146,(null),Urolophus viridis,Greenback Stingaree
37038004,N11.3,260,10082125,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,304,10082066,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,283,10082247,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,265,10082274,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,266,10082248,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,360,10082035,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,290,10082004,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,257,10081973,developing eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,251,10081972,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.3,254,10081971,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038014,N11.3,550,10082278,small eggs developing,Trygonoptera imitata,Eastern Shovelnose Stingaree
37038014,N11.3,539,10082267,(null),Trygonoptera imitata,Eastern Shovelnose Stingaree
37038004,N11.2,334,10082193,with pup,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,290,10082133,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
